date,type,category,amount,memo
2026-06-01,INCOME,용돈,300000,월 초 생활비
2026-06-02,EXPENSE,식비,8500,점심 식사
2026-06-03,EXPENSE,교통,1500,지하철
2026-06-04,EXPENSE,카페,5200,카페 공부
2026-06-05,EXPENSE,쇼핑,32000,생활용품 구매
2026-06-06,EXPENSE,식비,12000,저녁 식사
2026-06-07,EXPENSE,문화,15000,영화
2026-06-08,EXPENSE,교통,3000,왕복 교통비
2026-06-09,INCOME,기타,50000,중고거래 수입
2026-06-10,EXPENSE,식비,9700,편의점
2026-06-11,EXPENSE,생활,28000,세제 구매
2026-06-12,EXPENSE,카페,4800,아메리카노
2026-06-13,EXPENSE,식비,11000,학식 및 간식
2026-06-14,EXPENSE,쇼핑,45000,옷 구매
2026-06-15,EXPENSE,문화,22000,전시회
2026-06-16,EXPENSE,교통,1500,버스
2026-06-17,EXPENSE,식비,8900,점심
2026-06-18,EXPENSE,생활,13000,문구류
2026-06-19,EXPENSE,카페,5500,과제 작업
